id,category,subcategory,topic_title,details,last_update,reference_source,keywords,note
CMEX-0010,Static Data,Doctors & Specialties,รายชื่อแพทย์ประจำ: ระบบทางเดินอาหาร (Gastroenterology),"รายชื่อแพทย์:
- นพ.กำพล กลั่นกลิ่น — Kumpol Klunklin, MD.
- นพ.วสุวิช วันไชยธนวงศ์ — Wasuwit Wanchaitanawong, MD.
- นพ.นวพล ชาติกุล — Nawapol Chatkul, MD.
- นพ.ธนภัทร กัลยาวุฒิพงศ์ — Thanaput Kunlayawutipong, MD.",30/1/26,User provided (CMEx info),"แพทย์,รายชื่อแพทย์,ความเชี่ยวชาญ,ระบบทางเดินอาหาร,CMEx",
CMEX-0011,Static Data,Doctors & Specialties,รายชื่อแพทย์ประจำ: ระบบหัวใจและหลอดเลือด (Cardiology),"รายชื่อแพทย์:
- นพ.ศรัณย์ ควรประเสริฐ — Sarun Kuanpraset, MD.
- พญ.พรรณนิภา สุวรรณสม — Pannipa Suwannasom, MD.
- นพ.กฤษณ์ ลีมะสวัสดิ์ — Krit Leemasawat, MD.
- นพ.ตุล ชัยกิจมงคล — Tul Chaikitmongkol, MD.",30/1/26,User provided (CMEx info),"แพทย์,รายชื่อแพทย์,ความเชี่ยวชาญ,ระบบหัวใจและหลอดเลือด,CMEx",
CMEX-0012,Static Data,Doctors & Specialties,รายชื่อแพทย์ประจำ: ระบบทางเดินหายใจ และภูมิแพ้ (Pulmonary / Allergy),"รายชื่อแพทย์:
- นพ.ธีรกร ธีรกิตติกุล — Theerakorn Theerakittikul, MD.
- นพ.อติคุณ ลิ้มสุคนธ์ — Atikun Limsukon, MD.
- พญ.ภัทราพร ตาเจริญเมือง — Pattaraporn Tajarernmuang, MD.
- พญ.ณัฐชนก นิยติวัฒน์ชาญชัย — Natchanok Niyatiwatchanchai, MD.",30/1/26,User provided (CMEx info),"แพทย์,รายชื่อแพทย์,ความเชี่ยวชาญ,ระบบทางเดินหายใจและภูมิแพ้,CMEx",
CMEX-0013,Static Data,Doctors & Specialties,รายชื่อแพทย์ประจำ: ระบบต่อมไร้ท่อ (Endocrinology),"รายชื่อแพทย์:
- พญ.ศุภวรรณ บูรณพิร — Supawan Buranapin, MD.
- นพ.ณัฐพงศ์ โฆษชุณหนันท์ — Natapong Kosachunhanan, MD.
- พญ.เมตตาภรณ์ พรพัฒน์กุล — Mattabhorn Phornphutkul, MD.
- นพ.ณัทวุฒิ เฮงจีระจรัส — Natavuth Hengjeerajarus, MD.
- พญ.ศุพรทิพย์ หินทอง — Suphonthip Hinthong, MD.
- พญ.นิพาวรรณ ไวศยะนันท์ — Nipawan Waisayanand, MD.
- พญ.วรผกา มโนสร้อย — Worapaka Manosroi, MD.",30/1/26,User provided (CMEx info),"แพทย์,รายชื่อแพทย์,ความเชี่ยวชาญ,ระบบต่อมไร้ท่อ,CMEx",
CMEX-0014,Static Data,Doctors & Specialties,รายชื่อแพทย์ประจำ: โรคเลือด (Hematology),"รายชื่อแพทย์:
- พญ.ลลิตา นรเศรษฐ์ธาดา — Lalita Norasetthada, MD.
- นพ.ปกป้อง พิริยคุณธร — Pokpong Piriyakhuntorn, MD.",30/1/26,User provided (CMEx info),"แพทย์,รายชื่อแพทย์,ความเชี่ยวชาญ,โรคเลือด,CMEx",
CMEX-0015,Static Data,Doctors & Specialties,รายชื่อแพทย์ประจำ: โรคติดเชื้อ (Infectious Disease),"รายชื่อแพทย์:
- พญ.ปาริชาติ สาลี — Parichat Salee, MD.",30/1/26,User provided (CMEx info),"แพทย์,รายชื่อแพทย์,ความเชี่ยวชาญ,โรคติดเชื้อ,CMEx",
CMEX-0016,Static Data,Doctors & Specialties,รายชื่อแพทย์ประจำ: ระบบประสาท และสมอง (Neurology),"รายชื่อแพทย์:
- พญ.นันทพร ตียพันธ์ — Nantaporn Tiyapun, MD.
- นพ.ชุติเทพ ทีฆพุฒิ — Chutithep Teekaput, MD.
- นพ.อธิวัฒน์ สุนทรพันธ์ — Atiwat Soontornpun, MD.
- นพ.นพดนัย ศิริมหาราช — Nopdanai Sirimaharaj, MD.
- นพ.กิตติธัช บุญเจริญ — Kittithatch Noonchatoen, MD.
- นพ.ธีรดนย์ พินิชกชกร — Theeradon Pinijkojchakorn, MD.",30/1/26,User provided (CMEx info),"แพทย์,รายชื่อแพทย์,ความเชี่ยวชาญ,ระบบประสาทและสมอง,CMEx",
CMEX-0017,Static Data,Doctors & Specialties,รายชื่อแพทย์ประจำ: โรคไต (Nephrology),"รายชื่อแพทย์:
- นพ.ขจรศักดิ์ นพคุณ — Kajornsak Noppakun, MD.
- นพ.สุรเชษฐ์ วงษ์นิ่ม — Surachet Vongsanim, MD.
- นพ.พฤทธิ์ คูศิริสิน — Prit Kusirisin, MD.
- นพ.กานต์ พงษ์สุวรรณ — Karn Pongsuwan, MD.
- พญ.ฝันฝ้าย สมเกียรติ — Phunphai Somkearti, MD.
- นพ.พุฒินาท วนรัตน์วิจิตร — Puttinat Wanaratwichit, MD.",30/1/26,User provided (CMEx info),"แพทย์,รายชื่อแพทย์,ความเชี่ยวชาญ,โรคไต,CMEx",
CMEX-0018,Static Data,Doctors & Specialties,รายชื่อแพทย์ประจำ: โรคมะเร็ง (Oncology),"รายชื่อแพทย์:
- พญ.บุษยามาส ชีวสกุลยง — Busyamas Chewaskulyong, MD.
- นพ.ธัชธรรม์ สุขสมบูรณ์เจริญ — Thatthan Suksombooncharoen, MD.
- พญ.ธนิกา เกตุเผือก — Thanika Ketpueak, MD.",30/1/26,User provided (CMEx info),"แพทย์,รายชื่อแพทย์,ความเชี่ยวชาญ,โรคมะเร็ง,CMEx",
CMEX-0019,Static Data,Doctors & Specialties,รายชื่อแพทย์ประจำ: โรคผิวหนัง (Dermatology),"รายชื่อแพทย์:
- นพ.นภัทร โตวณะบุตร — Napat Tovanabutra, MD.
- นพ.มติ เชื้อมโนชาญ — Mati Chuamanochan, MD.
- นพ.สลิล กีรติกานนท์ — Salin Kiratikanon, MD.",30/1/26,User provided (CMEx info),"แพทย์,รายชื่อแพทย์,ความเชี่ยวชาญ,โรคผิวหนัง,CMEx",
CMEX-0020,Static Data,Doctors & Specialties,รายชื่อแพทย์ประจำ: โรคภูมิแพ้ (Allergy/Immunology),"รายชื่อแพทย์:
- พญ.กนกกาญจน์ ภิญโญพรพาณิชย์ — Kanokkarn Pinyopornpanish, MD.",30/1/26,User provided (CMEx info),"แพทย์,รายชื่อแพทย์,ความเชี่ยวชาญ,โรคภูมิแพ้,CMEx",
CMEX-0021,Static Data,Doctors & Specialties,รายชื่อแพทย์ประจำ: ศัลยกรรมระบบทางตับ ทางน้ำดี และตับอ่อน (HBP Surgery),"รายชื่อแพทย์:
- นพ.วรกิตติ ลาภพิเศษพันธุ์ — Worakitti Lapisatepun, MD.
- นพ.สัณหวิชญ์ จันทร์รังสี — Sunhawit Junrungsee, MD.",30/1/26,User provided (CMEx info),"แพทย์,รายชื่อแพทย์,ความเชี่ยวชาญ,ศัลยกรรมระบบทางตับทางน้ำดีและตับอ่อน,CMEx",
CMEX-0022,Static Data,Doctors & Specialties,รายชื่อแพทย์ประจำ: ศัลยกรรมระบบทางเดินอาหารและส่องกล้องส่วนต้น (Upper GI Surgery/Endoscopy),"รายชื่อแพทย์:
- พญ.ปีติชา ตันประเสริฐ — Piticha Tanprasert, MD.",30/1/26,User provided (CMEx info),"แพทย์,รายชื่อแพทย์,ความเชี่ยวชาญ,ศัลยกรรมระบบทางเดินอาหารและส่องกล้องส่วนต้น,CMEx",
CMEX-0023,Static Data,Doctors & Specialties,รายชื่อแพทย์ประจำ: ศัลยกรรมหลอดเลือด (Vascular Surgery),"รายชื่อแพทย์:
- นพ.สารนาถ ออรพินท์ — Saranat Orapin, MD.
- นพ.ปูรณ์ อภิชาติปิยกุล — Poon Apichartpiyakul, MD.",30/1/26,User provided (CMEx info),"แพทย์,รายชื่อแพทย์,ความเชี่ยวชาญ,ศัลยกรรมหลอดเลือด,CMEx",
CMEX-0024,Static Data,Doctors & Specialties,รายชื่อแพทย์ประจำ: ศัลยกรรมลำไส้และทวารหนัก (Colorectal Surgery),"รายชื่อแพทย์:
- นพ.ปวิธ สุธารัตน์ — Pawit Sutharat, MD.
- นพ.สุวรรณ แสนหมี่ — Suwan Sanmee, MD.
- นพ.เอกรินทร์ ศุภตระกูล — Ekkarin Suppatrakul, MD.
- นพ.วิชชา วิพุธอมร — Witcha Vipudhamorn, MD.",30/1/26,User provided (CMEx info),"แพทย์,รายชื่อแพทย์,ความเชี่ยวชาญ,ศัลยกรรมลำไส้และทวารหนัก,CMEx",
CMEX-0025,Static Data,Doctors & Specialties,รายชื่อแพทย์ประจำ: รังสีร่วมรักษาของลำตัว (Interventional Radiology),"รายชื่อแพทย์:
- นพ.นครินทร์ อินมุตโต — Nakarin Inmutto, MD.",30/1/26,User provided (CMEx info),"แพทย์,รายชื่อแพทย์,ความเชี่ยวชาญ,รังสีร่วมรักษาของลำตัว,CMEx",
CMEX-0026,Static Data,Doctors & Specialties,รายชื่อแพทย์ประจำ: ศัลยกรรมระบบประสาท (Neurosurgery),"รายชื่อแพทย์:
- นพ.ชานน สีหะกุลัง — Chanon Seehakulang, MD.",30/1/26,User provided (CMEx info),"แพทย์,รายชื่อแพทย์,ความเชี่ยวชาญ,ศัลยกรรมระบบประสาท,CMEx",
CMEX-0027,Static Data,Doctors & Specialties,รายชื่อแพทย์ประจำ: ศัลยกรรมระบบปัสสาวะ (Urology),"รายชื่อแพทย์:
- นพ.สุริธร สุนทรพันธ์ — Surithorn Soontornpun, MD.
- นพ.อัคร อมันตกุล — Akara Amantakul, MD.
- นพ.จรัสพงศ์ วุฒิวงศ์ — Jaraspong Vuthiwong, MD.
- นพ.ธีรภัทร แสงมีอานุภาพ — Teerapat Saengmearnuparp, MD.
- นพ.พิษณุ มหาวงศ์ — Phitsana Mahawong, MD.",30/1/26,User provided (CMEx info),"แพทย์,รายชื่อแพทย์,ความเชี่ยวชาญ,ศัลยกรรมระบบปัสสาวะ,CMEx",
CMEX-0028,Static Data,Doctors & Specialties,รายชื่อแพทย์ประจำ: ศัลยกรรมศีรษะ คอ และเต้านม (Head/Neck/Breast),"รายชื่อแพทย์:
- พญ.อารีวรรณ สมหวังประเสริฐ — Areewan Somwangprasert, MD.
- นพ.จักรกริช ดิษธรรม — Chagkrit Ditsatham, MD.
- พญ.จุฬารัตน์ ดวงแก้ว — Chularat Duangkaew, MD.",30/1/26,User provided (CMEx info),"แพทย์,รายชื่อแพทย์,ความเชี่ยวชาญ,ศัลยกรรมศีรษะคอและเต้านม,CMEx",
CMEX-0029,Static Data,Doctors & Specialties,รายชื่อแพทย์ประจำ: จิตเวช (Psychiatry),"รายชื่อแพทย์:
- พญ.สุรินทร์พร ลิขิตเสถียร — Surinphon Likhitsathian, MD.",30/1/26,User provided (CMEx info),"แพทย์,รายชื่อแพทย์,ความเชี่ยวชาญ,จิตเวช,CMEx",
CMEX-0030,Static Data,Doctors & Specialties,รายชื่อแพทย์ประจำ: กระดูกและข้อ (Orthopedics),"รายชื่อแพทย์:
- นพ.ศิริพงศ์ เชี่ยวชาญธนกิจ — Siriphong Chiewchantanakit, MD.
- นพ.ธนวัฒน์ วะสีนนท์ — Tanawat Vaseenon, MD.
- นพ.สักกาเดช ลิ้มมหาคุณ — Sakkadech Limmahakhun, MD.
- นพ.จิรชาติ ไกรศรินท์ — Jirachart Kraisarin, MD.
- นพ.พิชิตชัย อรรถโกมล — Pichitchai Atthakomol, MD.
- นพ.จิราวัฒน์ แสงสิน — Jirawat Saengsin, MD.
- นพ.นิชนันท์ กิจรานันทน์ — Nitchanant Kitcharanant, MD.
- นพ.ปวีร์ ชลิดาพงศ์ — Pawee Chalidapong, MD.
- นพ.รนกฤต เมธังกูร — Ronnakrit Maethungkul, MD.
- นพ.เฉลิมวุฒิ ปิยพัทธไชย์ — Chaloemwut Piyaphattachai, MD.
- นพ.คณิตศ์ สนั่นพานิช — Kanit Sananpanich, MD.",30/1/26,User provided (CMEx info),"แพทย์,รายชื่อแพทย์,ความเชี่ยวชาญ,กระดูกและข้อ,CMEx",
CMEX-0031,Static Data,Patient Guidance,ความรู้ทั่วไป: อาการป่วยแบบนี้ควรไปแผนกไหน,"แนวทางเบื้องต้น (อาการ → แผนก/ชั้น):
- ปวดคอ บ่า ไหล่ → นัด Rehab ชั้น 6
- ปวดข้อเข่า เดินมีเสียงก๊อบแก๊บ → นัด Ortho ชั้น 6
- เป็นโรคเบาหวานเดิม ต้องการย้ายการรักษา → นัด Endocrine ชั้น 3
- ปรึกษาเรื่องลดน้ำหนัก → นัด Endocrine ชั้น 3
- ปวดศีรษะ มึนเล็กน้อย ยังไม่เคยรับการรักษา/ไม่เคยใช้ยา → นัด med ชั้น 3 หรือ 6 (ข้อความต้นฉบับระบุไม่ชัด)
- ตรวจสุขภาพประจำปี / วัคซีน → นัด med ชั้น 6
- ขาบวม แดง ร้อน → นัด ศัลยกรรมหลอดเลือด (surg vas) ชั้น 3
- ปวดข้อเท้าจากการเล่นกีฬา/ทำงาน → นัด ortho ชั้น 6
- มีก้อนที่เต้านม → นัด HNB ชั้น 3
- มีผล US จาก รพ. อื่น พบนิ่วในถุงน้ำดี → นัด HBP ชั้น 3",30/1/26,User provided (CMEx info),"อาการ,ไปแผนกไหน,triage,Rehab,Ortho,Endocrine,med,วัคซีน,ศัลยกรรมหลอดเลือด,HNB,HBP,US,ชั้น3,ชั้น6",เป็นแนวทางทั่วไป ไม่ใช่การวินิจฉัย และมี 1 บรรทัดที่ข้อความต้นฉบับระบุชั้นไม่ชัด
CMEX-0034,Dynamic Data,Doctor Schedule (CMEx Clinic ชั้น 3),ตารางแพทย์ออกตรวจ: General Med (อายุรกรรมทั่วไป),"ตารางแพทย์ (ตามข้อความที่ให้มา):
- จันทร์: อ.พญ.สมหญิง (13:00–16:00)
- อังคาร: อ.พญ.สมหญิง (09:00–12:00)
- พุธ: อ.นพ.พุฒินาท (13:00–20:00)
- พฤหัสบดี: อ.พญ.ฟาติมา (13:00–16:00)
- ศุกร์: อ.พญ.สมหญิง (09:00–12:00)
- เสาร์: อ.นพ.พุฒินาท (09:00–16:00) [จัดวางจากข้อความอาจคลาดเคลื่อน]
- อาทิตย์: อ.นพ.พุฒินาท (09:00–16:00) และ/หรือ อ.พญ.ฟาติมา (09:00–12:00) [ข้อความต้นฉบับจัดวางไม่ชัด]",30/1/26,User provided (CMEx info),"ตารางแพทย์,ออกตรวจ,คลินิก,CMEx,ชั้น3,GeneralMed",ข้อความต้นฉบับเป็นรูปแบบตารางที่ถูกคัดลอกมา ทำให้บางช่องวัน/เวลาอาจคลาดเคลื่อน ควรตรวจสอบกับตารางล่าสุดของหน่วยงาน
CMEX-0035,Dynamic Data,Doctor Schedule (CMEx Clinic ชั้น 3),ตารางแพทย์ออกตรวจ: Cardio (โรคหัวใจ),"ตารางแพทย์ (ตามข้อความที่ให้มา):
- อังคาร: รศ.นพ.ศรัณย์ (09:00–12:00)
- พฤหัสบดี: อ.นพ.กฤษณ์ (16:00–20:00) / ผศ.พญ.พรรณนิภา (16:00–20:00) [อาจเป็นคนละสัปดาห์หรือคนละช่วง]
- ศุกร์: อ.นพ.ตุล (13:00–16:00)",30/1/26,User provided (CMEx info),"ตารางแพทย์,ออกตรวจ,คลินิก,CMEx,ชั้น3,Cardio",ข้อความต้นฉบับเป็นรูปแบบตารางที่ถูกคัดลอกมา ทำให้บางช่องวัน/เวลาอาจคลาดเคลื่อน ควรตรวจสอบกับตารางล่าสุดของหน่วยงาน
CMEX-0036,Dynamic Data,Doctor Schedule (CMEx Clinic ชั้น 3),ตารางแพทย์ออกตรวจ: Gastrointestinal and Liver (ทางเดินอาหารและตับ),"ตารางแพทย์ (ตามข้อความที่ให้มา):
- จันทร์: อ.นพ.ธนภัทร (16:00–20:00)
- พฤหัสบดี: ศ.นพ.กำพล (13:00–16:00)
- เสาร์: อ.นพ.นวพล (13:00–16:00) [จากข้อความอาจคลาดเคลื่อน]",30/1/26,User provided (CMEx info),"ตารางแพทย์,ออกตรวจ,คลินิก,CMEx,ชั้น3,GastrointestinalandLiver",ข้อความต้นฉบับเป็นรูปแบบตารางที่ถูกคัดลอกมา ทำให้บางช่องวัน/เวลาอาจคลาดเคลื่อน ควรตรวจสอบกับตารางล่าสุดของหน่วยงาน
CMEX-0037,Dynamic Data,Doctor Schedule (CMEx Clinic ชั้น 3),ตารางแพทย์ออกตรวจ: Chest (โรคปอด/นอนหลับ),"ตารางแพทย์ (ตามข้อความที่ให้มา):
- จันทร์: อ.นพ.ปริญญา (16:00–20:00)
- อังคาร: รศ.นพ.ธีรกร (14:00–16:00)
- พุธ: ผศ.นพ.อติคุณ (09:00–12:00)
- พฤหัสบดี: ผศ.พญ.ภัทราพร (16:00–18:00)
- ศุกร์: อ.พญ.ณัฐชนก (16:00–18:00)",30/1/26,User provided (CMEx info),"ตารางแพทย์,ออกตรวจ,คลินิก,CMEx,ชั้น3,Chest",ข้อความต้นฉบับเป็นรูปแบบตารางที่ถูกคัดลอกมา ทำให้บางช่องวัน/เวลาอาจคลาดเคลื่อน ควรตรวจสอบกับตารางล่าสุดของหน่วยงาน
CMEX-0038,Dynamic Data,Doctor Schedule (CMEx Clinic ชั้น 3),ตารางแพทย์ออกตรวจ: Endocrine (ต่อมไร้ท่อ/เบาหวาน),"ตารางแพทย์ (ตามข้อความที่ให้มา):
- จันทร์: อ.พญ.ศุพรทิพย์ (13:00–16:00)
- อังคาร: ผศ.พญ.นิพาวรรณ (13:00–16:00)
- พุธ: อ.นพ.ณัทวุฒิ (13:00–16:00) และ (09:00–12:00)
- พฤหัสบดี: รศ.พญ.วรผกา (12:00–14:00) / รศ.พญ.ศุภวรรณ (09:00–12:00) / รศ.นพ.ณัฐพงศ์ (17:00–20:00)
- ศุกร์: รศ.พญ.เมตตาภรณ์ (13:00–16:00) / อ.พญ.ศุพรทิพย์ (09:00–12:00) / ผศ.พญ.นิพาวรรณ (09:00–12:00)
- เสาร์–อาทิตย์: อ.พญ.ศุพรทิพย์ (09:00–12:00) และ/หรือ (13:00–16:00) [จากข้อความมีหลายบรรทัดซ้ำ โปรดตรวจสอบตารางล่าสุด]",30/1/26,User provided (CMEx info),"ตารางแพทย์,ออกตรวจ,คลินิก,CMEx,ชั้น3,Endocrine",ข้อความต้นฉบับเป็นรูปแบบตารางที่ถูกคัดลอกมา ทำให้บางช่องวัน/เวลาอาจคลาดเคลื่อน ควรตรวจสอบกับตารางล่าสุดของหน่วยงาน
CMEX-0039,Dynamic Data,Doctor Schedule (CMEx Clinic ชั้น 3),ตารางแพทย์ออกตรวจ: Hemato (โรคเลือด),"ตารางแพทย์ (ตามข้อความที่ให้มา):
- พฤหัสบดี: อ.พญ.ลลิตา (17:00–20:00)
- ศุกร์: อ.นพ.ปกป้อง (13:00–16:00)
- เสาร์: อ.พญ.ลลิตา (09:00–12:00)",30/1/26,User provided (CMEx info),"ตารางแพทย์,ออกตรวจ,คลินิก,CMEx,ชั้น3,Hemato",ข้อความต้นฉบับเป็นรูปแบบตารางที่ถูกคัดลอกมา ทำให้บางช่องวัน/เวลาอาจคลาดเคลื่อน ควรตรวจสอบกับตารางล่าสุดของหน่วยงาน
CMEX-0040,Dynamic Data,Doctor Schedule (CMEx Clinic ชั้น 3),ตารางแพทย์ออกตรวจ: Infectious (โรคติดเชื้อ),"ตารางแพทย์ (ตามข้อความที่ให้มา):
- ศุกร์: ผศ.พญ.ปาริชาติ (09:00–12:00)",30/1/26,User provided (CMEx info),"ตารางแพทย์,ออกตรวจ,คลินิก,CMEx,ชั้น3,Infectious",ข้อความต้นฉบับเป็นรูปแบบตารางที่ถูกคัดลอกมา ทำให้บางช่องวัน/เวลาอาจคลาดเคลื่อน ควรตรวจสอบกับตารางล่าสุดของหน่วยงาน
CMEX-0041,Dynamic Data,Doctor Schedule (CMEx Clinic ชั้น 3),ตารางแพทย์ออกตรวจ: Neuro (สมองและประสาท),"ตารางแพทย์ (ตามข้อความที่ให้มา):
- จันทร์: ผศ.นพ.อธิวัฒน์ (14:00–16:00)
- พุธ: ผศ.พญ.นันทพร (13:00–20:00)
- พฤหัสบดี: อ.นพ.นพดนัย (14:00–16:00)
- ศุกร์: อ.นพ.ธีรดนย์ (09:00–12:00)",30/1/26,User provided (CMEx info),"ตารางแพทย์,ออกตรวจ,คลินิก,CMEx,ชั้น3,Neuro",ข้อความต้นฉบับเป็นรูปแบบตารางที่ถูกคัดลอกมา ทำให้บางช่องวัน/เวลาอาจคลาดเคลื่อน ควรตรวจสอบกับตารางล่าสุดของหน่วยงาน
